n,degF,degG,degMAX,degOUT,tINITIALISE,tEVALUATE,tMULTIPLY,tCONSTRUCT,tRETURN,tTOTAL,CORRECTNESS
9999954997,541,541,541,1082,0,3,0,37,0,41,1
9999954997,541,541,541,1082,0,3,0,35,0,39,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
10015571473,0,1,1,1,0,0,0,0,0,0,1
10015571473,1,1,1,2,0,0,0,0,0,0,1
10015571473,2,2,2,4,0,0,0,0,0,0,1
10015571473,4,4,4,8,0,0,0,0,0,0,1
10015571473,8,8,8,16,0,0,0,0,0,0,1
10015571473,1,16,16,17,0,0,0,0,0,0,1
10015571473,16,16,16,32,0,0,0,0,0,0,1
10015571473,32,32,32,64,0,0,0,0,0,0,1
10015571473,64,64,64,128,0,0,0,0,0,0,1
10015571473,128,128,128,256,0,0,0,2,0,2,1
10015571473,256,256,256,512,0,1,0,8,0,10,1
10015571473,17,512,512,529,0,1,0,9,0,11,1
10015571473,512,512,512,1024,0,3,0,34,0,38,1
10015571473,529,559,559,1088,0,3,0,36,0,41,1
10015571473,559,559,559,1118,0,3,0,38,0,42,1
10015571473,559,559,559,1118,0,3,0,37,0,41,1
10015571473,559,559,559,1118,0,3,0,38,0,42,1
10015571473,559,559,559,1118,0,3,0,36,0,40,1
10015571473,559,559,559,1118,0,3,0,38,0,42,1
10015571473,559,559,559,1118,0,3,0,36,0,40,1
10015571473,559,559,559,1118,0,3,0,38,0,42,1
10015571473,559,559,559,1118,0,3,0,37,0,41,1
10015571473,559,559,559,1118,0,3,0,38,0,43,1
10015571473,559,559,559,1118,0,3,0,37,0,41,1
10015571473,559,559,559,1118,0,3,0,38,0,42,1
10015571473,559,559,559,1118,0,3,0,37,0,41,1
10015571473,559,559,559,1118,0,3,0,39,0,43,1
10015571473,559,559,559,1118,0,4,0,38,0,43,1
10015571473,559,559,559,1118,0,3,0,39,0,43,1
10015571473,559,559,559,1118,0,3,0,37,0,41,1
10015571473,559,559,559,1118,0,3,0,39,0,43,1
10015571473,559,559,559,1118,0,4,0,38,0,42,1
10015571473,559,559,559,1118,0,3,0,39,0,43,1
10015571473,559,559,559,1118,0,3,0,37,0,41,1
10015571473,559,559,559,1118,0,3,0,38,0,43,1
10015571473,559,559,559,1118,0,3,0,37,0,42,1
10015571473,559,559,559,1118,0,3,0,39,0,43,1
10015571473,559,559,559,1118,0,3,0,37,0,42,1
10015571473,559,559,559,1118,0,3,0,38,0,42,1
10015571473,559,559,559,1118,0,3,0,37,0,41,1
10015571473,559,559,559,1118,0,3,0,38,0,42,1
10015571473,559,559,559,1118,0,3,0,38,0,42,1
10015571473,559,559,559,1118,0,4,0,40,0,44,1
10015571473,559,559,559,1118,0,3,0,40,0,44,1
10015571473,559,559,559,1118,0,3,0,40,0,45,1
10015571473,559,559,559,1118,0,3,0,40,0,44,1
10015571473,559,559,559,1118,0,4,0,39,0,44,1
10015571473,559,559,559,1118,0,3,0,40,0,44,1
10015571473,559,559,559,1118,0,3,0,40,0,44,1
10015571473,559,559,559,1118,0,4,0,40,0,44,1
10015571473,559,559,559,1118,0,4,0,38,0,43,1
10015571473,559,559,559,1118,0,7,0,45,0,53,1
435465768733,0,1,1,1,0,0,0,0,0,0,1
435465768733,1,1,1,2,0,0,0,0,0,0,1
435465768733,2,2,2,4,0,0,0,0,0,0,1
435465768733,1,4,4,5,0,0,0,0,0,0,1
435465768733,4,4,4,8,0,0,0,0,0,0,1
435465768733,5,8,8,13,0,0,0,0,0,0,1
435465768733,8,8,8,16,0,0,0,0,0,0,1
435465768733,13,16,16,29,0,0,0,0,0,0,1
435465768733,16,16,16,32,0,0,0,0,0,0,1
